country_name,channel_name,fiscal_year,constant_amount
Iraq,Enterprise - United States Other,2003,670316464
World,"Chemonics International, Inc.",2018,500350000
Greece,U.S. Government - Department of Defense,1984,1046243984
Greece,U.S. Government - Department of Defense,1985,1012555691
Israel,U.S. Government - Department of Defense,1981,1209774982
Israel,U.S. Government - Department of Defense,1978,1561036528
Israel,U.S. Government - Department of Defense,1979,1444669171
Israel,U.S. Government - Department of Defense,1977,1666111296
Israel,U.S. Government - Department of Defense,1980,1328727079
Israel,U.S. Government - Department of Defense,1980,1328727079
Israel,U.S. Government - Department of Defense,1977,1666111296
Israel,U.S. Government - Department of Defense,1978,1561036528
Turkey,U.S. Government - Department of Defense,1991,839912649
World,Green Climate Fund,2016,520074891
World,Green Climate Fund,2016,520074891
World,Green Climate Fund,2017,510829587
World,Green Climate Fund,2017,510829587
World,"Chemonics International, Inc.",2019,487304399
World,U.S. Government - Other,1974,2092327150
Vietnam (former South),U.S. Government - Other,1967,2923713779
World,U.S. Government - Other,1989,886292155
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,552093019
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2010,563169057
World,U.S. Government - Department of State,2009,567217356
Israel,U.S. Government - Other,1977,1632789070
Vietnam (former South),U.S. Government - Other,1967,2896510940
World,Partnership for Supply Chain Management,2014,518416714
Turkey,U.S. Government - Department of Defense,1985,982179020
Russia,U.S. Government - Other,1994,753314528
World,U.S. Government - Department of Health and Human Services,2010,550504414
World,U.S. Government - Department of Health and Human Services,2010,550504414
Israel,Government of Israel,2004,622284820
Israel,Government of Israel,2004,622284820
Israel,U.S. Government - Other,1976,1697034655
Jordan,Government of Jordan,2018,475000000
Jordan,Government of Jordan,2018,475000000
Turkey,U.S. Government - Department of Defense,1992,778433301
World,U.S. Government - Department of Health and Human Services,2009,547666831
World,U.S. Government - Department of Health and Human Services,2009,547666831
World,Partnership for Supply Chain Management,2012,521209375
Eurasia Region,U.S. Government - Other,1993,754807046
Jordan,U.S. Government - Department of Defense,2017,480179812
Jordan,U.S. Government - Department of Defense,2017,480179812
World,U.S. Government - Other,1974,1978499157
Eastern Europe Region,U.S. Government - Other,1994,732954082
Egypt,U.S. Government - Department of Defense,1984,973006905
World,Partnership for Supply Chain Management,2013,503623817
World,U.S. Government - Department of State,2008,542245623
Iraq,Enterprise - United States Other,2004,603808033
World,U.S. Government - Department of Health and Human Services,2016,476631995
Sub-Saharan Africa Region,United Nations Office of the United Nations High Commissioner for Refugees,2015,478402354
Mexico,U.S. Government - Department of State,2015,477834364
Russia,U.S. Government - Department of Agriculture,1999,654077067
Colombia,U.S. Government - Department of State,2006,554145159
World,U.S. Government - Department of Health and Human Services,2015,473651060
Iraq,Enterprise - Non United States Other,2008,526900585
World,U.S. Government - Department of State,2008,526886060
Jordan,U.S. Government - Department of Defense,2016,468067402
Jordan,U.S. Government - Department of Defense,2016,468067402
Turkey,U.S. Government - Department of Defense,1993,720576461
Iraq,U.S. Government - Department of State,2013,487370751
Afghanistan,U.S. Government - Department of State,2009,519526043
France,U.S. Government - Other,1950,3820119352
India,U.S. Government - Other,1962,2893575600
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2011,497157003
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2017,449530037
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2017,449530037
France,U.S. Government - Other,1951,3530744337
Iraq,U.S. Government - Department of State,2005,551557481
World,U.S. Government - Other,1990,757498260
Korea Republic,U.S. Government - Other,1956,3177720964
World,U.S. Government - Department of Health and Human Services,2016,448409611
Russia,U.S. Government - Department of Energy,2007,514173530
Greece,U.S. Government - Department of Defense,1986,852941176
World,U.S. Government - Other,1977,1432855715
World,Partnership for Supply Chain Management,2010,492949673
Poland,U.S. Government - Department of Defense,2015,450500992
Egypt,U.S. Government - Other,1976tq,1488033299
West Africa Region,U.S. Government - Department of Defense,2015,448250052
Jordan,U.S. Government - Department of Defense,2018,425000000
Jordan,U.S. Government - Department of Defense,2018,425000000
Egypt,U.S. Government - Department of Defense,1983,921109666
Afghanistan,U.S. Government - Department of State,2011,476378552
Afghanistan,Afghanistan Reconstruction Trust Fund,2010,484558065
Sub-Saharan Africa Region,United Nations Office of the United Nations High Commissioner for Refugees,2017,431778147
Colombia,U.S. Government - Department of State,2005,534365909
World,U.S. Government - Other,1980,1116715387
Haiti,U.S. Government - Department of Defense,2010,481081050
Italy,U.S. Government - Other,1953,3181436211
El Salvador,U.S. Government - Other,1987,802892290
Afghanistan,U.S. Government - Department of Defense,2004,540006521
Afghanistan,U.S. Government - Department of Defense,2004,540006521
World,U.S. Government - Department of Health and Human Services,2015,434090909
Turkey,U.S. Government - Department of Defense,1990,717153793
Iraq,Enterprise - United States Other,2004,537297861
Jordan,Government of Jordan,2017,420923580
Jordan,Government of Jordan,2017,420923580
Eastern Europe Region,U.S. Government - Other,1992,673654539
